id,date,amount,currency,payer,reference,invoice_id,notes
PAY-P01-1,2024-03-06,72.00,USD,Client Clearing Account,Installment 1 INV-1031,INV-1031,Partial payment
PAY-P01-2,2024-03-15,108.00,USD,Client Clearing Account,Installment 2 INV-1031,INV-1031,Partial payment
PAY-P02-1,2024-03-08,86.00,USD,Client Clearing Account,Installment 1 INV-1032,INV-1032,Partial payment
PAY-P02-2,2024-03-17,129.00,USD,Client Clearing Account,Installment 2 INV-1032,INV-1032,Partial payment
PAY-P03-1,2024-03-10,100.00,USD,Client Clearing Account,Installment 1 INV-1033,INV-1033,Partial payment
PAY-P03-2,2024-03-19,150.00,USD,Client Clearing Account,Installment 2 INV-1033,INV-1033,Partial payment
PAY-P04-1,2024-03-12,114.00,USD,Client Clearing Account,Installment 1 INV-1034,INV-1034,Partial payment
PAY-P04-2,2024-03-21,171.00,USD,Client Clearing Account,Installment 2 INV-1034,INV-1034,Partial payment
PAY-P05-1,2024-03-14,128.00,USD,Client Clearing Account,Installment 1 INV-1035,INV-1035,Partial payment
PAY-P05-2,2024-03-23,192.00,USD,Client Clearing Account,Installment 2 INV-1035,INV-1035,Partial payment
PAY-P06-1,2024-03-16,142.00,USD,Client Clearing Account,Installment 1 INV-1036,INV-1036,Partial payment
PAY-P06-2,2024-03-25,213.00,USD,Client Clearing Account,Installment 2 INV-1036,INV-1036,Partial payment
PAY-P07-1,2024-03-18,156.00,USD,Client Clearing Account,Installment 1 INV-1037,INV-1037,Partial payment
PAY-P07-2,2024-03-27,234.00,USD,Client Clearing Account,Installment 2 INV-1037,INV-1037,Partial payment
PAY-P08-1,2024-03-20,170.00,USD,Client Clearing Account,Installment 1 INV-1038,INV-1038,Partial payment
PAY-P08-2,2024-03-29,255.00,USD,Client Clearing Account,Installment 2 INV-1038,INV-1038,Partial payment
PAY-P09-1,2024-03-22,184.00,USD,Client Clearing Account,Installment 1 INV-1039,INV-1039,Partial payment
PAY-P09-2,2024-03-31,276.00,USD,Client Clearing Account,Installment 2 INV-1039,INV-1039,Partial payment
PAY-P10-1,2024-03-24,198.00,USD,Client Clearing Account,Installment 1 INV-1040,INV-1040,Partial payment
PAY-P10-2,2024-04-02,297.00,USD,Client Clearing Account,Installment 2 INV-1040,INV-1040,Partial payment
PAY-U01,2024-03-30,110.00,USD,Delayed Remittance Account,Short payment INV-1041,INV-1041,Insufficient payment
PAY-U02,2024-04-01,129.25,USD,Delayed Remittance Account,Short payment INV-1042,INV-1042,Insufficient payment
PAY-U03,2024-04-03,148.50,USD,Delayed Remittance Account,Short payment INV-1043,INV-1043,Insufficient payment
PAY-U04,2024-04-05,167.75,USD,Delayed Remittance Account,Short payment INV-1044,INV-1044,Insufficient payment
PAY-U05,2024-04-07,187.00,USD,Delayed Remittance Account,Short payment INV-1045,INV-1045,Insufficient payment
PAY-U06,2024-04-09,206.25,USD,Delayed Remittance Account,Short payment INV-1046,INV-1046,Insufficient payment
PAY-U07,2024-04-11,225.50,USD,Delayed Remittance Account,Short payment INV-1047,INV-1047,Insufficient payment
PAY-U08,2024-04-13,244.75,USD,Delayed Remittance Account,Short payment INV-1048,INV-1048,Insufficient payment
PAY-U09,2024-04-15,264.00,USD,Delayed Remittance Account,Short payment INV-1049,INV-1049,Insufficient payment
PAY-U10,2024-04-17,283.25,USD,Delayed Remittance Account,Short payment INV-1050,INV-1050,Insufficient payment
PAY-N01,2024-01-04,47.50,USD,Misc External Source,Bank transfer EXT-700,,Unmapped bank feed noise
PAY-N02,2024-01-13,60.50,USD,Misc External Source,Bank transfer EXT-701,,Unmapped bank feed noise
PAY-N03,2024-01-22,73.50,USD,Misc External Source,Bank transfer EXT-702,,Unmapped bank feed noise
PAY-N04,2024-01-31,86.50,USD,Misc External Source,Bank transfer EXT-703,,Unmapped bank feed noise
PAY-N05,2024-02-09,99.50,USD,Misc External Source,Bank transfer EXT-704,,Unmapped bank feed noise
PAY-N06,2024-02-18,112.50,USD,Misc External Source,Bank transfer EXT-705,,Unmapped bank feed noise
PAY-N07,2024-02-27,125.50,USD,Misc External Source,Bank transfer EXT-706,,Unmapped bank feed noise
PAY-N08,2024-03-07,138.50,USD,Misc External Source,Bank transfer EXT-707,,Unmapped bank feed noise
PAY-N09,2024-03-16,151.50,USD,Misc External Source,Bank transfer EXT-708,,Unmapped bank feed noise
PAY-N10,2024-03-25,164.50,USD,Misc External Source,Bank transfer EXT-709,,Unmapped bank feed noise
